"","date","Country","ISO3","confirmed","death","recovered","confirmed_cum_per_million","death_cum_per_million","confirmed_cum","death_cum","confirmed_cum_per_million_lag_01","death_cum_per_million_lag_01","confirmed_cum_per_million_lag_02","death_cum_per_million_lag_02","confirmed_cum_per_million_lag_03","death_cum_per_million_lag_03","confirmed_cum_per_million_lag_04","death_cum_per_million_lag_04","confirmed_cum_per_million_lag_05","death_cum_per_million_lag_05","confirmed_cum_per_million_lag_06","death_cum_per_million_lag_06","confirmed_cum_per_million_lag_07","death_cum_per_million_lag_07","confirmed_cum_per_million_lag_08","death_cum_per_million_lag_08","confirmed_cum_per_million_lag_09","death_cum_per_million_lag_09","confirmed_cum_per_million_lag_10","death_cum_per_million_lag_10","confirmed_cum_per_million_lag_11","death_cum_per_million_lag_11","confirmed_cum_per_million_lag_12","death_cum_per_million_lag_12","confirmed_cum_per_million_lag_13","death_cum_per_million_lag_13","confirmed_cum_per_million_lag_14","death_cum_per_million_lag_14"
"570",2020-05-06,"Spain","ESP",996,244,2516,4712.35210309927,553.034328060083,220325,25857,4691.04946974088,547.815610651,4662.85984045739,543.858796221982,4651.20327903137,540.351133701123,4632.29612251649,536.843471180264,4603.07986030007,524.930251521005,4564.98750085098,524.930251521005,4553.90842044973,519.198217645455,4508.05214944533,509.509369340886,4480.07640202287,503.071525323944,4440.91463326864,495.992035723917,4403.9344594969,489.832238126311,4341.58789700724,481.747503779453,4556.19695636273,473.898039479725,4457.06271377626,464.487237594494
"571",2020-05-07,"Spain","ESP",1122,213,2509,4736.34964790661,557.590011699979,221447,26070,4712.35210309927,553.034328060083,4691.04946974088,547.815610651,4662.85984045739,543.858796221982,4651.20327903137,540.351133701123,4632.29612251649,536.843471180264,4603.07986030007,524.930251521005,4564.98750085098,524.930251521005,4553.90842044973,519.198217645455,4508.05214944533,509.509369340886,4480.07640202287,503.071525323944,4440.91463326864,495.992035723917,4403.9344594969,489.832238126311,4341.58789700724,481.747503779453,4556.19695636273,473.898039479725
"572",2020-05-08,"Spain","ESP",1410,229,2637,4766.50699031156,562.48790631752,222857,26299,4736.34964790661,557.590011699979,4712.35210309927,553.034328060083,4691.04946974088,547.815610651,4662.85984045739,543.858796221982,4651.20327903137,540.351133701123,4632.29612251649,536.843471180264,4603.07986030007,524.930251521005,4564.98750085098,524.930251521005,4553.90842044973,519.198217645455,4508.05214944533,509.509369340886,4480.07640202287,503.071525323944,4440.91463326864,495.992035723917,4403.9344594969,489.832238126311,4341.58789700724,481.747503779453
"573",2020-05-09,"Spain","ESP",721,179,2804,4781.92787249168,566.316391629922,223578,26478,4766.50699031156,562.48790631752,4736.34964790661,557.590011699979,4712.35210309927,553.034328060083,4691.04946974088,547.815610651,4662.85984045739,543.858796221982,4651.20327903137,540.351133701123,4632.29612251649,536.843471180264,4603.07986030007,524.930251521005,4564.98750085098,524.930251521005,4553.90842044973,519.198217645455,4508.05214944533,509.509369340886,4480.07640202287,503.071525323944,4440.91463326864,495.992035723917,4403.9344594969,489.832238126311
"574",2020-05-10,"Spain","ESP",772,143,2214,4798.43955216304,569.374902242622,224350,26621,4781.92787249168,566.316391629922,4766.50699031156,562.48790631752,4736.34964790661,557.590011699979,4712.35210309927,553.034328060083,4691.04946974088,547.815610651,4662.85984045739,543.858796221982,4651.20327903137,540.351133701123,4632.29612251649,536.843471180264,4603.07986030007,524.930251521005,4564.98750085098,524.930251521005,4553.90842044973,519.198217645455,4508.05214944533,509.509369340886,4480.07640202287,503.071525323944,4440.91463326864,495.992035723917
"575",2020-05-11,"Spain","ESP",3086,123,973,4864.44349447628,572.005649133266,227436,26744,4798.43955216304,569.374902242622,4781.92787249168,566.316391629922,4766.50699031156,562.48790631752,4736.34964790661,557.590011699979,4712.35210309927,553.034328060083,4691.04946974088,547.815610651,4662.85984045739,543.858796221982,4651.20327903137,540.351133701123,4632.29612251649,536.843471180264,4603.07986030007,524.930251521005,4564.98750085098,524.930251521005,4553.90842044973,519.198217645455,4508.05214944533,509.509369340886,4480.07640202287,503.071525323944
"576",2020-05-12,"Spain","ESP",594,176,1841,4877.14807702134,575.769969887359,228030,26920,4864.44349447628,572.005649133266,4798.43955216304,569.374902242622,4781.92787249168,566.316391629922,4766.50699031156,562.48790631752,4736.34964790661,557.590011699979,4712.35210309927,553.034328060083,4691.04946974088,547.815610651,4662.85984045739,543.858796221982,4651.20327903137,540.351133701123,4632.29612251649,536.843471180264,4603.07986030007,524.930251521005,4564.98750085098,524.930251521005,4553.90842044973,519.198217645455,4508.05214944533,509.509369340886
"577",2020-05-13,"Spain","ESP",661,184,1843,4891.28566803529,579.705396130274,228691,27104,4877.14807702134,575.769969887359,4864.44349447628,572.005649133266,4798.43955216304,569.374902242622,4781.92787249168,566.316391629922,4766.50699031156,562.48790631752,4736.34964790661,557.590011699979,4712.35210309927,553.034328060083,4691.04946974088,547.815610651,4662.85984045739,543.858796221982,4651.20327903137,540.351133701123,4632.29612251649,536.843471180264,4603.07986030007,524.930251521005,4564.98750085098,524.930251521005,4553.90842044973,519.198217645455
"578",2020-05-14,"Spain","ESP",849,217,2551,4909.44423803657,584.346632514581,229540,27321,4891.28566803529,579.705396130274,4877.14807702134,575.769969887359,4864.44349447628,572.005649133266,4798.43955216304,569.374902242622,4781.92787249168,566.316391629922,4766.50699031156,562.48790631752,4736.34964790661,557.590011699979,4712.35210309927,553.034328060083,4691.04946974088,547.815610651,4662.85984045739,543.858796221982,4651.20327903137,540.351133701123,4632.29612251649,536.843471180264,4603.07986030007,524.930251521005,4564.98750085098,524.930251521005
"579",2020-05-15,"Spain","ESP",643,138,1409,4923.19684170067,587.298202196768,230183,27459,4909.44423803657,584.346632514581,4891.28566803529,579.705396130274,4877.14807702134,575.769969887359,4864.44349447628,572.005649133266,4798.43955216304,569.374902242622,4781.92787249168,566.316391629922,4766.50699031156,562.48790631752,4736.34964790661,557.590011699979,4712.35210309927,553.034328060083,4691.04946974088,547.815610651,4662.85984045739,543.858796221982,4651.20327903137,540.351133701123,4632.29612251649,536.843471180264,4603.07986030007,524.930251521005
